No        Y     X1     X2     X3    X4
 1 2568.875 26.276 91.892 14.870 62.191 
 2 1769.669 39.317 76.181  3.234 33.776 
 3 3032.155 73.555 37.344 62.064 36.294 
 4 3166.279 59.184 28.457 38.090 72.427 
 5 2158.898 91.753 98.675 66.274  9.566 
 6 3486.665 60.934 79.510 28.653 56.322 
 7 3600.447 80.059 73.456 20.206 60.132 
 8 2185.430 78.940 32.452 84.255 13.463 
 9 1897.939 22.477 13.698 79.898 56.104 
10  224.915 17.541  0.306 43.969 61.059 
11 3793.914 70.638 74.296 10.032 91.525 
12 1930.118 58.862 29.444 46.911 16.469 
13 2720.323 76.614 11.462 79.242 72.301 
14 2576.268 20.622 73.028 52.563 58.133 
15 2350.199 75.726 31.162  5.433 52.141 
16 1783.949 63.951 14.440 11.079 36.513 
17 1773.103 19.362 87.558 51.086 18.495 
18 2919.148 51.198 40.730 83.600 35.030 
19 2565.703 57.786 31.442 68.578 28.491 
20 3362.018 53.743 66.042 12.563 81.003 
21 2586.172 72.951  8.674 95.490 94.870 
22  585.069  9.816  5.060 42.021  6.583 
23 1745.456 61.312  8.621 99.919 21.929 
24 3495.859 32.301 96.443 87.947 59.694 
25 4693.787 66.639 62.591 75.796 91.453 
26 4185.272 66.557 76.261 58.552 64.967
27 5215.146 62.830 92.276 88.190 98.656
28  745.067 98.222  1.433 24.597 34.681
29 2022.232 86.719  8.184 68.628 38.115
30 1295.326 11.033 23.167 39.700 29.700
31 2274.001 20.897 58.079 60.404 39.712
32 2186.084 94.634 10.394 10.659 70.407
33 1947.648 26.514 25.420 13.892 54.569
34  656.971  2.388 23.208 17.753 97.646
35 3103.832 26.102 77.795 31.857 90.985
36 3908.014 59.194 36.302 85.062 83.656
37  438.510 36.378 65.362 64.772  0.374
38 1370.139 19.296 12.406  0.778 93.011
39 2040.781 51.064 69.283 56.126 13.204
40 3913.082 74.094 25.726 87.516 93.556
41  147.777 73.695  0.165 37.737 24.932
42 1057.765  9.961 35.379 22.626 17.345
43  178.722  0.434 46.496 75.067 31.943
44 1274.565 16.053  8.832  8.511 71.580
45 2382.314 52.883 73.080 62.534 17.488
46 4558.196 42.121 95.337 92.929 99.543
47 4536.696 60.895 69.479 68.821 87.620
48 1420.395  6.325 49.374 39.318 91.542
49 3645.612 95.388 48.448 32.194 57.132
50 1352.639 53.045  4.084 47.099 45.842
